Territory,Division,GDOS_ID,Name,Address,Phone,Zip,Duplicate,DoNotImport,Reason
USC,Adult Rehabilitation Centers Command (USC),8a551df64db0278a014dbe23c8520304,"Salvation Army Corps (Saginaw, MI) Donation Drop Box",,,,True,True,Marked as duplicate location
USC,Adult Rehabilitation Centers Command (USC),8a551df64db0278a014dbe241cc30319,"Salvation Army Church (Midland, MI) Donation Drop Box",,,,True,True,Marked as duplicate location
USC,Adult Rehabilitation Centers Command (USC),8a551df64db0278a014dbe262bd10397,Salvation Army Bloomington (IL) Corps Donation Drop Box,,,,True,True,Marked as duplicate location
USC,Adult Rehabilitation Centers Command (USC),8a551df64db0278a014dbe265cd403a3,Salvation Army Decatur (IL) Corps Donation Drop Off,,,,True,True,Marked as duplicate location
USC,Adult Rehabilitation Centers Command (USC),8a551df64db0278a014dbe27973903f1,Salvation Army Granite City Corps (MO) Donation Drop Box,,,,True,True,Marked as duplicate location
USC,Adult Rehabilitation Centers Command (USC),8a551df64db0278a014dbe27d2ff0400,"Salvation Army Headquarters (Wauwatosa, WI) Donation Drop Box",,,,True,True,Marked as duplicate location
USC,Adult Rehabilitation Centers Command (USC),8a551df64db0278a014dbe2957f80448,Salvation Army Alton Corps (IL) Drop Box,,,,True,True,Marked as duplicate location
USC,Adult Rehabilitation Centers Command (USC),8a5d8bb24db02268014dfb24ede60005,"La Porte Corps (La Porte, IN) Donation Drop Box",,,,True,True,Marked as duplicate location
USC,Adult Rehabilitation Centers Command (USC),8a80801659992b450159dea281a10009,Salvation Army Peoria (IL) Corps Donation Drop Box,,,,True,True,Marked as duplicate location
USC,Adult Rehabilitation Centers Command (USC),8a8080b3714a3df10173565826fc0115,Hastings (MN) Family Store & Donation Center,,,,True,True,Marked as duplicate location
USC,Adult Rehabilitation Centers Command (USC),8a8081b26fec724d017032f632160016,DES MOINES (IA) ADULT REHABILITATION CENTER & ADMINISTRATIVE OFFICES,,,,True,True,Marked as duplicate location
USC,Adult Rehabilitation Centers Command (USC),8a8081ee6cf82b59016f129220250075,SOUTHEAST MICHIGAN (MI) ADULT REHABILITATION CENTER & ADMINISTRATIVE OFFICES,,,,True,True,Marked as duplicate location
USC,Adult Rehabilitation Centers Command (USC),8a80824b64fb50b2016503b48be20002,Ames Salvation Army Service Extension Office Dropoff,,,,True,True,Marked as duplicate location
USC,Adult Rehabilitation Centers Command (USC),8a80824b64fb50b2016503bd42c80020,"Salvation Army (Cicero, IL) Temple Laramie Corps Donation Drop Box",,,,True,True,Marked as duplicate location
USC,Adult Rehabilitation Centers Command (USC),8a8082ce70d635f101711ac5bfb8002c,Salvation Army Family Store Donation Drop Box,,,,True,True,Marked as duplicate location
USC,Adult Rehabilitation Centers Command (USC),8a80833159992b470159cf2ff5d7000b,Salvation Army West Page Corps (MO) Donation Drop Box,,,,True,True,Marked as duplicate location
USC,Adult Rehabilitation Centers Command (USC),8a8280448b8b7404018b8f640e9b0002,Sally's on Fort,,,,True,True,Marked as duplicate location
USC,Adult Rehabilitation Centers Command (USC),8a8280448e5b5bdc018e605dacd10009,"Salvation Army (Chicago, IL) Englewood Corps Donation Drop Box",,,,True,True,Marked as duplicate location
USC,Adult Rehabilitation Centers Command (USC),8a82808f864f3ed1018654a5090d001e,South Lyon (MI) Family Store & Donation Center,,,,True,True,Marked as duplicate location
USC,Adult Rehabilitation Centers Command (USC),8a8280b58e5b3d2d018e605da8ea000c,Fantasy Drop Box (Village Point),,,,True,True,Marked as duplicate location
USC,Adult Rehabilitation Centers Command (USC),8a8282b07ac3a1d1017af0fb5c93028d,"NOW CLOSED! Charles St (Rockford, IL) Family Store & Donation Center",,,,False,True,Marked do not import
USC,Adult Rehabilitation Centers Command (USC),8a8282c68872f80f018a50193e2a0093,Evanston,,,,True,True,Marked as duplicate location
USC,Adult Rehabilitation Centers Command (USC),8a83826390da9d540190def2236b0000,"Salvation Army (Blue Island, IL) Corps Donation Drop Box",,,,True,True,Marked as duplicate location
USC,Adult Rehabilitation Centers Command (USC),8a839ce6936327e801938cb74a5d000c,CFV Test1,,,,True,True,Marked as duplicate location
USC,Adult Rehabilitation Centers Command (USC),8a83a26492b8e2f90192c8412bf3000c,St. Louis Auction Center,,,,True,True,Marked as duplicate location
USC,Adult Rehabilitation Centers Command (USC),8a83cb9b8f3e29d7018f42f551d60002,"Salvation Army Headquarters (Chicago, IL) Drop Box",,,,True,True,Marked as duplicate location
USC,Great Lakes,8a8282c68872f80f0188dee622470051,Detroit Harbor Light,,,,True,True,Marked as duplicate location
USC,North & Central Illinois,402818763d5b8722013d5be99c861098,Quad Cities,,,,True,True,Marked as duplicate location
USC,North & Central Illinois,8a82816b83808e9c0184398eba77001b,"Lincoln, IL 360 Life Center",,,,True,True,Marked as duplicate location
USC,North & Central Illinois,8a83ca498f3e2ee9018f4f2e22270002,Irving Park (Chicago),,,,True,True,Marked as duplicate location
USE,Eastern Pennsylvania & Delaware,402818763d5b8722013d5b8eb69701da,YORK CITADEL,,,,False,True,Marked do not import
USE,Eastern Pennsylvania & Delaware,402818763d5b8722013d5c14b58c13dd,READING TEMPLE,,,,True,True,Marked as duplicate location
USE,Eastern Pennsylvania & Delaware,402818763d5b8722013d5c15c2e513f2,LANCASTER CITADEL,,,,True,True,Marked as duplicate location
USE,Eastern Pennsylvania & Delaware,402818763d5b8722013d5c2119e014c1,READING CITADEL,,,,True,True,Marked as duplicate location
USE,Eastern Pennsylvania & Delaware,402818763d5b8722013d5daa5a672ee9,SHELTER PLUS CARE PROGRAM,,,,True,True,Marked as duplicate location
USE,Eastern Pennsylvania & Delaware,402818763d5b8722013d5daa7dd42eec,LADORE COMPLEX,,,,True,True,Marked as duplicate location
USE,Eastern Pennsylvania & Delaware,8a80823b5adc4fcd015dcc42d54f0286,Allentown Corps,,,,True,True,Marked as duplicate location
USE,Eastern Pennsylvania & Delaware,8a8281fc7f267c9a018019ca460a00d4,NEW DAY TO STOP TRAFFICKING WOMEN'S DROP-IN CENTER,,,,True,True,Marked as duplicate location
USE,Eastern Pennsylvania & Delaware,8a8281fc8067d90c0180997b67070003,BETHLEHEM CITADEL,,,,True,True,Marked as duplicate location
USE,Empire State,402818763d5b8722013d5b9216ca02e5,Albany,,,,True,True,Marked as duplicate location
USE,Empire State,8a8280f8774569d601777298125f0016,Echelon Syracuse,,,,True,True,Marked as duplicate location
USE,Greater New York,402818763d5b8722013d5b908c220270,The Markle,,,,False,True,Marked do not import
USE,Greater New York,402818763d5b8722013d5c3df13f1608,EastView Independent Senior Living Complex,,,,True,True,Marked as duplicate location
USE,Greater New York,8a8081ee6cf82b59016d838e8c9d0017,College for Officer Training,,,,False,True,Marked do not import
USE,Massachusetts,402818763d5b8722013d5c35e3c715c3,Hyannis,,,,True,True,Marked as duplicate location
USE,New Jersey,8a8083185adc4fdb015d358a6d450307,The Salvation Army- Hackensack Corps,,,,True,True,Marked as duplicate location
USE,Northeast Ohio,8a80820b6146af8801615768f4790002,Vermilion,,,,True,True,Marked as duplicate location
USE,Northeast Ohio,8a8281b579381eba0179cdfde902000d,Echelon Cleveland,,,,False,True,Marked do not import
USE,Puerto Rico & Virgin Islands,402818763d5b8722013d5b9a89c004bc,Operation Emergency Center,,,,True,True,Marked as duplicate location
USE,Puerto Rico & Virgin Islands,402818763d5b8722013d5bc3f97b0ba9,St. Thomas Coprs,,,,True,True,Marked as duplicate location
USE,Southern New England,402818763d5b8722013d5b92d7890327,Rhode Island State Office,,,,True,True,Marked as duplicate location
USE,Southwest Ohio & Northeast Kentucky,8a8280c07a56d428017ac0074bb200c6,Circleville,,,,False,True,Marked do not import
USE,Southwest Ohio & Northeast Kentucky,8a828276774563440177729be1800006,Echelon Cincinnati,,,,False,True,Marked do not import
USE,Western Pennsylvania,8a8282377e6d1acf017e6d503e420002,Mon Valley Worship & Service Center,,,,True,True,Marked as duplicate location
USE,Western Pennsylvania,8a8282bd81ea2f5801826e5763c20017,Pittsburgh Echelon Chapter,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),2c9f5c399680e614019680f3e4160006,Pachogue Sit,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),2c9f5c399680e614019680f3e60e000b,HAMITON CORP,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),2c9f5c399680e614019680f3e864000e,Hayes Market,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),2c9f5c399680e614019680f3eb680011,CT Scrap,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),2c9f5c399680e614019680f3f07b0017,SA Dropbox,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),2c9f5c399680e614019680f3f369001a,swings and things Grafton,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),2c9f5c399680e614019680f3f590001d,Cleveland Miles Park Corps Williams,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),2c9f5c399680e614019680f3f9380020,DHQ America,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),2c9f5c3996ed111f0196ed139c910000,Woodlanes Bowling,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),2c9f5c3996ed111f0196ed13a0790003,Community Church St Paul's,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),2c9f60029735282d0197352a98030000,Good Neighbors Tallmadge TALLMADGE,,,,False,True,Marked do not import
